,id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
58156,0190ff4c,1,40996,41178,182,Nonproduction,Leftclick,Leftclick,NoChange,0,0
58157,0190ff4c,2,84871,84871,0,Nonproduction,Shift,Shift,NoChange,0,0
58250,0190ff4c,95,184741,184741,0,Nonproduction,Shift,Shift,NoChange,86,17
58251,0190ff4c,96,185242,185242,0,Nonproduction,Shift,Shift,NoChange,86,17
58252,0190ff4c,97,185275,185275,0,Nonproduction,Shift,Shift,NoChange,86,17
58253,0190ff4c,98,185307,185307,0,Nonproduction,Shift,Shift,NoChange,86,17
58254,0190ff4c,99,185340,185340,0,Nonproduction,Shift,Shift,NoChange,86,17
58255,0190ff4c,100,185374,185374,0,Nonproduction,Shift,Shift,NoChange,86,17
58256,0190ff4c,101,185407,185407,0,Nonproduction,Shift,Shift,NoChange,86,17
58387,0190ff4c,232,265345,265504,159,Nonproduction,Leftclick,Leftclick,NoChange,150,39
58389,0190ff4c,234,268633,268784,151,Nonproduction,Leftclick,Leftclick,NoChange,209,39
58392,0190ff4c,237,284798,284798,0,Nonproduction,Shift,Shift,NoChange,211,39
58397,0190ff4c,242,312910,312910,0,Nonproduction,Shift,Shift,NoChange,211,39
58537,0190ff4c,382,432397,432397,0,Nonproduction,Shift,Shift,NoChange,324,59
58585,0190ff4c,430,449412,449499,87,Nonproduction,Insert,Insert,NoChange,371,67
58628,0190ff4c,473,496781,496781,0,Nonproduction,Shift,Shift,NoChange,405,73
58716,0190ff4c,561,534395,534574,179,Nonproduction,Leftclick,Leftclick,NoChange,417,88
58718,0190ff4c,563,537793,538006,213,Nonproduction,Leftclick,Leftclick,NoChange,493,88
58721,0190ff4c,566,542268,542268,0,Nonproduction,Shift,Shift,NoChange,495,88
58727,0190ff4c,572,548353,548550,197,Nonproduction,Leftclick,Leftclick,NoChange,432,90
58736,0190ff4c,581,557161,557334,173,Nonproduction,Leftclick,Leftclick,NoChange,500,90
58861,0190ff4c,706,635308,635308,0,Nonproduction,Shift,Shift,NoChange,616,109
58955,0190ff4c,800,679756,679756,0,Nonproduction,Shift,Shift,NoChange,697,124
59073,0190ff4c,918,746868,746868,0,Nonproduction,Shift,Shift,NoChange,804,144
59112,0190ff4c,957,777645,777645,0,Nonproduction,Shift,Shift,NoChange,804,144
59113,0190ff4c,958,778756,778756,0,Nonproduction,Shift,Shift,NoChange,804,144
59260,0190ff4c,1105,864349,864349,0,Nonproduction,Shift,Shift,NoChange,918,166
59386,0190ff4c,1231,940434,940628,194,Nonproduction,Leftclick,Leftclick,NoChange,995,186
59393,0190ff4c,1238,947537,947707,170,Nonproduction,Leftclick,Leftclick,NoChange,1012,186
59395,0190ff4c,1240,951633,951731,98,Nonproduction,Leftclick,Leftclick,NoChange,1032,186
59399,0190ff4c,1244,964569,964739,170,Nonproduction,Leftclick,Leftclick,NoChange,995,186
59401,0190ff4c,1246,967600,967755,155,Nonproduction,Leftclick,Leftclick,NoChange,1036,187
59402,0190ff4c,1247,974940,974940,0,Nonproduction,Shift,Shift,NoChange,1036,187
59403,0190ff4c,1248,975440,975440,0,Nonproduction,Shift,Shift,NoChange,1036,187
59548,0190ff4c,1393,1070026,1070187,161,Nonproduction,Leftclick,Leftclick,NoChange,404,211
59550,0190ff4c,1395,1077577,1077738,161,Nonproduction,Leftclick,Leftclick,NoChange,918,211
59552,0190ff4c,1397,1081193,1081355,162,Nonproduction,Leftclick,Leftclick,NoChange,1173,211
59556,0190ff4c,1401,1101124,1101124,0,Nonproduction,Shift,Shift,NoChange,1174,211
59557,0190ff4c,1402,1101625,1101625,0,Nonproduction,Shift,Shift,NoChange,1174,211
59688,0190ff4c,1533,1198676,1198676,0,Nonproduction,Shift,Shift,NoChange,1294,232
59695,0190ff4c,1540,1201828,1201910,82,Nonproduction,Insert,Insert,NoChange,1300,234
59837,0190ff4c,1682,1334787,1334787,0,Nonproduction,Shift,Shift,NoChange,1427,259
59963,0190ff4c,1808,1492937,1493112,175,Nonproduction,Leftclick,Leftclick,NoChange,1539,279
59967,0190ff4c,1812,1506715,1506715,0,Nonproduction,Shift,Shift,NoChange,1540,279
60064,0190ff4c,1909,1619761,1619951,190,Nonproduction,Leftclick,Leftclick,NoChange,404,297
60077,0190ff4c,1922,1661079,1661246,167,Nonproduction,Leftclick,Leftclick,NoChange,813,299
